Rank,Player,3P%
1,Steve Kerr,0.454
2,Hubert Davis,0.4409
3,Dražen Petrović*,0.4374
4,Joe Harris,0.4362
5,Luke Kennard,0.435
6,Seth Curry,0.434
7,Jason Kapono,0.4336
8,Tim Legler,0.43120000000000003
9,Steve Novak,0.4301
10,Kyle Korver,0.4287
11,Stephen Curry,0.428
12,Steve Nash*,0.4278
13,B.J. Armstrong,0.4249
14,Desmond Bane,0.4208
15,Wesley Person,0.4176
16,Anthony Morrow,0.4166
17,Tyrese Maxey,0.415
18,Klay Thompson,0.4148
19,J.J. Redick,0.4145
20,Matt Bonner,0.4145
21,Michael Porter Jr.,0.4134
22,Doug McDermott,0.4121
23,Tyrese Haliburton,0.4117
24,Dana Barros,0.411
25,Bryn Forbes,0.4098
26,Trent Tucker,0.4078
27,Daniel Gibson,0.4073
28,Joe Ingles,0.4073
29,José Calderón,0.4071
30,Mike Miller,0.4067
31,Wally Szczerbiak,0.4061
32,Raja Bell,0.4056
33,Brent Barry,0.4053
34,Anthony Parker,0.4043
35,Dale Ellis,0.4029
36,Jeff Hornacek,0.4029
37,Luke Babbitt,0.4024
38,Buddy Hield,0.4022
39,Mark Price,0.402
40,Allan Houston,0.4019
41,Dell Curry,0.4019
42,Michael Dickerson,0.4017
43,Brandon Rush,0.4015
44,Ben Gordon,0.4009
45,Peja Stojaković,0.4007
46,James Jones,0.4006
47,Georges Niang,0.4004
48,Ray Allen*,0.4002
49,Duncan Robinson,0.4002
50,Glen Rice,0.4002
51,Craig Hodges,0.3999
52,Trey Murphy III,0.3997
53,Grayson Allen,0.3997
54,Danny Green,0.3997
55,Eric Piatkowski,0.399
56,Kenny Smith,0.3988
57,Isaiah Joe,0.3983
58,Jevon Carter,0.3981
59,Otto Porter Jr.,0.3977
60,Pat Garrity,0.3976
61,Dāvis Bertāns,0.3968
62,Dennis Scott,0.3967
63,Fred Hoiberg,0.3964
64,Bobby Simmons,0.3958
65,Troy Daniels,0.3953
66,CJ McCollum,0.3951
67,Reggie Miller*,0.3947
68,Hersey Hawkins,0.3945
69,Karl-Anthony Towns,0.3941
70,Bojan Bogdanović,0.3941
71,Tony Snell,0.3939
72,Payton Pritchard,0.3937
73,Darren Collison,0.3937
74,Jalen Brunson,0.3935
75,Jared Dudley,0.393
76,Bruce Bowen,0.3929
77,Danny Ferry,0.3927
78,Jon Barry,0.392
79,Monte Morris,0.3916
80,Tyronn Lue,0.3915
81,Kyrie Irving,0.3913
82,Cameron Johnson,0.3909
83,Meyers Leonard,0.3902
84,Damon Jones,0.3898
85,Eddie House,0.3898
86,Bobby Phills,0.3895
87,Patty Mills,0.3886
88,Troy Murphy,0.3885
89,Corey Kispert,0.3885
90,Kawhi Leonard,0.3884
91,E'Twaun Moore,0.3883
92,Luther Head,0.3881
93,Mitch Richmond*,0.3881
94,Malcolm Brogdon,0.388
95,Courtney Lee,0.3878
96,Tracy Murray,0.3877
97,Channing Frye,0.3877
98,Norman Powell,0.3875
99,Chauncey Billups,0.3873
100,Khris Middleton,0.3872
101,Landry Shamet,0.3871
102,Brent Price,0.387
103,Grant Williams,0.3869
104,Allen Crabbe,0.3866
105,Anfernee Simons,0.3866
106,Leandro Barbosa,0.3865
107,Kevin Durant,0.3864
108,Arron Afflalo,0.3864
109,Rashard Lewis,0.3864
110,Terry Porter,0.386
111,Hollis Thompson,0.3858
112,Bogdan Bogdanović,0.3857
113,Darius Garland,0.3855
114,Kevin Huerter,0.3845
115,Anthony Peeler,0.3845
116,Chris Mullin*,0.3844
117,Alec Burks,0.3844
118,Kevin Martin,0.3843
119,Detlef Schrempf,0.3843
120,Terry Mills,0.3843
121,Nemanja Bjelica,0.3843
122,Shane Battier,0.3841
123,Voshon Lenard,0.3841
124,Matt Carroll,0.3839
125,Hedo Türkoğlu,0.3839
126,Matt Bullard,0.3837
127,Reggie Bullock,0.3836
128,Tyler Herro,0.3836
129,John Stockton*,0.3836
130,Roger Mason,0.3835
131,Royce O'Neale,0.3833
132,Gary Trent Jr.,0.3833
133,Darius Miller,0.3831
134,Steve Blake,0.3828
135,Mike Conley,0.3826
136,Zach LaVine,0.3824
137,Gary Neal,0.3824
138,Wayne Ellington,0.3824
139,Martell Webster,0.3822
140,Quentin Grimes,0.382
141,Joe Dumars*,0.3819
142,Brian Cook,0.3819
143,Paul George,0.3817
144,Danilo Gallinari,0.3815
145,D.J. Augustin,0.3811
146,Malik Beasley,0.381
147,Danny Granger,0.3805
148,Dirk Nowitzki*,0.3804
149,Michael Redd,0.3799
150,Bobby Portis,0.3797
151,Jason Terry,0.3797
152,George Hill,0.3796
153,Ryan Anderson,0.3795
154,Scott Skiles,0.3794
155,Mike Bibby,0.3793
156,Walt Williams,0.379
157,Mike James,0.3789
158,Damion Lee,0.3789
159,Mike Muscala,0.3786
160,Collin Sexton,0.3785
161,Cuttino Mobley,0.3784
162,Mo Williams,0.3784
163,LaMelo Ball,0.3784
164,Evan Fournier,0.3783
165,Terry Dehere,0.3783
166,Vladimir Radmanović,0.3783
167,Harrison Barnes,0.378
168,Danny Ainge,0.378
169,Aaron Holiday,0.3777
170,Kerry Kittles,0.3776
171,Darel Carrier,0.3772
172,Mike Dunleavy,0.3769
173,Lee Mayberry,0.3767
174,Christian Wood,0.3766
175,Marco Belinelli,0.3765
176,Richard Jefferson,0.3763
177,Wesley Matthews,0.3761
178,Marcus Morris,0.3759
179,Nick Young,0.3759
180,OG Anunoby,0.3758
181,Larry Bird*,0.3758
182,Jayson Tatum,0.3755
183,Kirk Hinrich,0.3754
184,Boštjan Nachbar,0.3749
185,Mehmet Okur,0.3748
186,Michael Finley,0.3747
187,Sean Elliott,0.3747
188,Sam Mack,0.3743
189,Jordan Farmar,0.374
190,Jamal Murray,0.3738
191,Alex Caruso,0.3737
192,Derek Fisher,0.3735
193,Morris Peterson,0.3734
194,O.J. Mayo,0.3734
195,Mikal Bridges,0.3732
196,Al Horford,0.3732
197,De'Anthony Melton,0.373
198,Jodie Meeks,0.373
199,Scott Burrell,0.3729
200,Andrés Nocioni,0.3729
201,C.J. Watson,0.3729
202,Anthony Tolliver,0.3728
203,Eddie Jones,0.3728
204,J.R. Smith,0.3727
205,Chandler Parsons,0.3726
206,Scott Brooks,0.3722
207,Fred VanVleet,0.3721
208,Matt Maloney,0.3719
209,Bradley Beal,0.3719
210,Lauri Markkanen,0.3718
211,Gary Harris,0.3717
212,Damian Lillard,0.3717
213,Patrick Beverley,0.3715
214,Delonte West,0.3715
215,Vince Carter,0.3713
216,Max Strus,0.371
217,Joe Johnson,0.371
218,Eric Gordon,0.3709
219,Devin Vassell,0.3707
220,Mirza Teletović,0.3705
221,Byron Scott,0.3703
222,Jason Richardson,0.3702
223,Aaron Brooks,0.3697
224,Cameron Payne,0.3696
225,Tobias Harris,0.3696
226,Kevin Love,0.3696
227,Bryon Russell,0.3691
228,Craig Ehlo,0.3688
229,Tim Thomas,0.36870000000000003
230,Manu Ginóbili*,0.36870000000000003
231,Patrick Patterson,0.3686
232,Chris Paul,0.3686
233,Taurean Prince,0.3686
234,Paul Pierce*,0.3685
235,Gordon Hayward,0.3685
236,Rashad McCants,0.3682
237,Bones Hyland,0.3682
238,Omri Casspi,0.3682
239,David Wesley,0.3681
240,Kelly Olynyk,0.3679
241,Jameer Nelson,0.3679
242,Kyle Lowry,0.3678
243,Gordan Giriček,0.3677
244,Langston Galloway,0.3677
245,JaMychal Green,0.3675
246,Glen Combs,0.3674
247,Sasha Vujačić,0.3673
248,Tayshaun Prince,0.3671
249,Garrison Mathews,0.3665
250,Ersan İlyasova,0.3665
