Rank,Player,3P,Season
1.,Stephen Curry,402,2015-16
2.,James Harden,378,2018-19
3.,Stephen Curry,354,2018-19
4.,Stephen Curry,337,2020-21
5.,Stephen Curry,324,2016-17
6.,Klay Thompson,301,2022-23
7.,James Harden,299,2019-20
8.,Paul George,292,2018-19
9.,Buddy Hield,288,2022-23
10.,Stephen Curry,286,2014-15
11.,Stephen Curry,285,2021-22
12.,Buddy Hield,282,2020-21
13.,Buddy Hield,278,2018-19
14.,Klay Thompson,276,2015-16
15.,Damian Lillard,275,2020-21
16.,Stephen Curry,273,2022-23
17.,Stephen Curry,272,2012-13
18.,Buddy Hield,271,2019-20
19.,Damian Lillard,270,2019-20
&nbsp,Duncan Robinson,270,2019-20
21.,Ray Allen*,269,2005-06
22.,Klay Thompson,268,2016-17
23.,Dennis Scott,267,1995-96
24.,James Harden,265,2017-18
25.,James Harden,262,2016-17
&nbsp,Buddy Hield,262,2021-22
27.,Stephen Curry,261,2013-14
28.,Kemba Walker,260,2018-19
29.,George McCloud,257,1995-96
30.,Duncan Robinson,250,2020-21
31.,Eric Gordon,246,2016-17
32.,Isaiah Thomas,245,2016-17
&nbsp,Donovan Mitchell,245,2022-23
34.,Paul George,244,2017-18
&nbsp,Damian Lillard,244,2022-23
36.,Jason Richardson,243,2007-08
37.,Fred VanVleet,242,2021-22
38.,Klay Thompson,241,2018-19
&nbsp,Evan Fournier,241,2021-22
40.,Peja Stojaković,240,2003-04
&nbsp,Kemba Walker,240,2016-17
&nbsp,J.J. Redick,240,2018-19
&nbsp,Malik Beasley,240,2021-22
&nbsp,Jayson Tatum,240,2022-23
45.,Klay Thompson,239,2014-15
46.,Kyle Lowry,238,2017-18
47.,Damian Lillard,237,2018-19
48.,James Harden,236,2015-16
49.,Malik Beasley,235,2022-23
50.,D'Angelo Russell,234,2018-19
51.,Trae Young,233,2021-22
52.,Donovan Mitchell,232,2021-22
&nbsp,Duncan Robinson,232,2021-22
54.,Mookie Blaylock,231,1995-96
&nbsp,Peja Stojaković,231,2007-08
&nbsp,Kemba Walker,231,2017-18
57.,Jayson Tatum,230,2021-22
58.,Reggie Miller*,229,1996-97
&nbsp,Ray Allen*,229,2001-02
&nbsp,Damian Lillard,229,2015-16
&nbsp,Klay Thompson,229,2017-18
62.,Desmond Bane,228,2021-22
63.,Wayne Ellington,227,2017-18
&nbsp,Damian Lillard,227,2017-18
&nbsp,Patty Mills,227,2021-22
66.,Kyle Korver,226,2004-05
&nbsp,Quentin Richardson,226,2004-05
&nbsp,Rashard Lewis,226,2007-08
69.,Mitch Richmond*,225,1995-96
&nbsp,Damon Jones,225,2004-05
71.,Klay Thompson,223,2013-14
&nbsp,Bradley Beal,223,2016-17
73.,Antoine Walker,222,2001-02
&nbsp,Terry Rozier,222,2020-21
&nbsp,Terry Rozier,222,2021-22
76.,Mookie Blaylock,221,1996-97
&nbsp,Antoine Walker,221,2000-01
&nbsp,Kyle Korver,221,2014-15
79.,Rashard Lewis,220,2008-09
&nbsp,LaMelo Ball,220,2021-22
81.,Damian Lillard,218,2013-14
&nbsp,Eric Gordon,218,2017-18
&nbsp,Devonte' Graham,218,2019-20
&nbsp,Julius Randle,218,2022-23
85.,John Starks,217,1994-95
&nbsp,Terrence Ross,217,2018-19
87.,Eric Gordon,216,2018-19
88.,Anthony Edwards,215,2021-22
89.,Damian Lillard,214,2016-17
&nbsp,Jordan Poole,214,2022-23
91.,Ryan Anderson,213,2012-13
&nbsp,Anthony Edwards,213,2022-23
93.,Kyle Lowry,212,2015-16
&nbsp,Stephen Curry,212,2017-18
&nbsp,Tim Hardaway Jr.,212,2022-23
&nbsp,Anfernee Simons,212,2022-23
97.,Klay Thompson,211,2012-13
&nbsp,Joe Harris,211,2020-21
&nbsp,Saddiq Bey,211,2021-22
&nbsp,Jordan Poole,211,2021-22
&nbsp,CJ McCollum,211,2022-23
102.,Paul Pierce*,210,2001-02
&nbsp,Paul George,210,2015-16
104.,Ray Allen*,209,2004-05
&nbsp,Aaron Brooks,209,2009-10
&nbsp,Bradley Beal,209,2018-19
&nbsp,Gary Trent Jr.,209,2021-22
108.,James Harden,208,2014-15
&nbsp,Jordan Clarkson,208,2020-21
110.,Glen Rice,207,1996-97
&nbsp,Tim Hardaway Jr.,207,2020-21
&nbsp,Fred VanVleet,207,2022-23
113.,Keegan Murray,206,2022-23
114.,Gilbert Arenas,205,2004-05
&nbsp,Gilbert Arenas,205,2006-07
&nbsp,Raja Bell,205,2006-07
